1, 2020-06-28 16:40:11.538763
2, 2020-06-28 16:40:17.543537
3, 2020-06-28 16:40:28.666688
4, 2020-06-28 16:40:34.640885
5, 2020-06-28 16:40:45.889237
6, 2020-06-28 16:40:51.855336
7, 2020-06-28 16:41:03.071391
8, 2020-06-28 16:41:09.055359
9, 2020-06-28 16:41:20.245578
10, 2020-06-28 16:41:26.305111
11, 2020-06-28 16:41:37.510787
12, 2020-06-28 16:41:43.517992
13, 2020-06-28 16:41:54.685332
14, 2020-06-28 16:42:00.681369
15, 2020-06-28 16:42:11.810384
16, 2020-06-28 16:42:17.851164
17, 2020-06-28 16:42:29.011442
18, 2020-06-28 16:42:35.015474
19, 2020-06-28 16:42:46.139626
20, 2020-06-28 16:42:52.178701
21, 2020-06-28 16:43:03.352116
22, 2020-06-28 16:43:09.352847
23, 2020-06-28 16:43:20.500249
24, 2020-06-28 16:43:26.493623
25, 2020-06-28 16:43:37.673128
26, 2020-06-28 16:43:43.716560
27, 2020-06-28 16:43:54.883194
28, 2020-06-28 16:44:00.882921
29, 2020-06-28 16:44:12.007512
30, 2020-06-28 16:44:18.067035
31, 2020-06-28 16:44:29.192278
32, 2020-06-28 16:44:35.258062
33, 2020-06-28 16:44:46.507710
34, 2020-06-28 16:44:52.522799
35, 2020-06-28 16:45:03.608316
36, 2020-06-28 16:45:09.641930
37, 2020-06-28 16:45:20.814146
38, 2020-06-28 16:45:26.818057
39, 2020-06-28 16:45:38.025130
40, 2020-06-28 16:45:43.982023
41, 2020-06-28 16:45:55.108233
42, 2020-06-28 16:46:01.157182
43, 2020-06-28 16:46:12.338673
44, 2020-06-28 16:46:18.313983
45, 2020-06-28 16:46:29.565936
46, 2020-06-28 16:46:35.560647
47, 2020-06-28 16:46:46.741228
48, 2020-06-28 16:46:52.786149
49, 2020-06-28 16:47:03.985319
50, 2020-06-28 16:47:10.002844
51, 2020-06-28 16:47:21.122292
52, 2020-06-28 16:47:27.121438
53, 2020-06-28 16:47:38.308411
54, 2020-06-28 16:47:44.310741
55, 2020-06-28 16:47:55.503404
56, 2020-06-28 16:48:01.557251
57, 2020-06-28 16:48:12.710313
